Date : 2022-02-17 11:54:11
Directory : c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition
Total : 892 files,  88032 codes, 2098 comments, 15864 blanks, all 105994 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| GameData\New Tiled\TileMaps\Special                                                                                                                        |          3 |        357 |          0 |          0 |        357 |
| GameData\New Tiled\TileMaps\beta Maps                                                                                                                      |          1 |        138 |          0 |          0 |        138 |
| GameData\New Tiled\TileSets                                                                                                                                |         11 |     10,161 |          0 |          3 |     10,164 |
| GameData\New Tiled\TileSets\JSON                                                                                                                           |         10 |      8,018 |          0 |          0 |      8,018 |
| GameData\Statistics                                                                                                                                        |          2 |        873 |          0 |         64 |        937 |
| GameData\Tiled                                                                                                                                             |         33 |     19,236 |          0 |          4 |     19,240 |
| GameData\Tiled\TileMaps                                                                                                                                    |         14 |      1,949 |          0 |          1 |      1,950 |
| GameData\Tiled\TileMaps\Special                                                                                                                            |          3 |        357 |          0 |          0 |        357 |
| GameData\Tiled\TileMaps\beta Maps                                                                                                                          |          2 |        268 |          0 |          0 |        268 |
| GameData\Tiled\TileMaps\custome                                                                                                                            |          6 |        926 |          0 |          1 |        927 |
| GameData\Tiled\TileMaps\custome\Suburban                                                                                                                   |          1 |        152 |          0 |          0 |        152 |
| GameData\Tiled\TileMaps\maps by cached tileset                                                                                                             |          2 |        260 |          0 |          0 |        260 |
| GameData\Tiled\TileSets                                                                                                                                    |         19 |     17,287 |          0 |          3 |     17,290 |
| GameData\Tiled\TileSets\JSON                                                                                                                               |          8 |      7,126 |          0 |          0 |      7,126 |
| GameData\Tiled\TileSets\cache                                                                                                                              |         10 |      8,018 |          0 |          0 |      8,018 |
| GameData\misc                                                                                                                                              |          3 |      2,370 |          0 |         24 |      2,394 |
| GameSrc                                                                                                                                                    |        469 |     32,460 |        925 |      9,824 |     43,209 |
| GameSrc\Content-Creator                                                                                                                                    |         18 |        987 |         25 |        547 |      1,559 |
| GameSrc\Content-Creator\Editor                                                                                                                             |          2 |         55 |          0 |         65 |        120 |
| GameSrc\Content-Creator\Manager                                                                                                                            |          5 |        187 |         14 |        178 |        379 |
| GameSrc\Content-Creator\Manager\Browser                                                                                                                    |          3 |        105 |          3 |        100 |        208 |
| GameSrc\Content-Creator\Util                                                                                                                               |          7 |        378 |          8 |        198 |        584 |
| GameSrc\PatnicRoom                                                                                                                                         |        388 |     22,283 |        773 |      7,581 |     30,637 |
| GameSrc\PatnicRoom\Cogsmos-Framework                                                                                                                       |         62 |      1,513 |        209 |      1,496 |      3,218 |
| GameSrc\PatnicRoom\Cogsmos-Framework\A-lec-andria                                                                                                          |         19 |        494 |         18 |        452 |        964 |
| GameSrc\PatnicRoom\Cogsmos-Framework\A-lec-andria\Parser                                                                                                   |         15 |        401 |          9 |        371 |        781 |
| GameSrc\PatnicRoom\Cogsmos-Framework\A-lec-andria\Parser\Ent-To-Lec                                                                                        |          4 |        134 |          4 |        119 |        257 |
| GameSrc\PatnicRoom\Cogsmos-Framework\A-lec-andria\Parser\Lec-To-Ent                                                                                        |         11 |        267 |          5 |        252 |        524 |
| GameSrc\PatnicRoom\Cogsmos-Framework\A-lec-andria\Parser\Lec-To-Ent\ActorRngTemplate                                                                       |          2 |         28 |          0 |         31 |         59 |
| GameSrc\PatnicRoom\Cogsmos-Framework\A-lec-andria\Parser\Lec-To-Ent\Common                                                                                 |          2 |         90 |          1 |         75 |        166 |
| GameSrc\PatnicRoom\Cogsmos-Framework\A-lec-andria\Parser\Lec-To-Ent\Condition                                                                              |          1 |         26 |          0 |         24 |         50 |
| GameSrc\PatnicRoom\Cogsmos-Framework\A-lec-andria\Parser\Lec-To-Ent\Event                                                                                  |          2 |         58 |          2 |         59 |        119 |
| GameSrc\PatnicRoom\Cogsmos-Framework\A-lec-andria\Parser\Lec-To-Ent\Util                                                                                   |          3 |         51 |          2 |         52 |        105 |
| GameSrc\PatnicRoom\Cogsmos-Framework\A-lec-andria\TextEditor                                                                                               |          2 |         69 |          9 |         53 |        131 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Aris-procgen-es                                                                                                       |          1 |          2 |          3 |         12 |         17 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Dav-inc-i                                                                                                             |         15 |        419 |         38 |        407 |        864 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Dav-inc-i\FSM-Panic                                                                                                   |          7 |        206 |         25 |        208 |        439 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Dav-inc-i\FSM-Panic\MouseLogik                                                                                        |          3 |        119 |          8 |         95 |        222 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Dav-inc-i\FSM-Rest                                                                                                    |          3 |         82 |          3 |         63 |        148 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Dav-inc-i\System                                                                                                      |          2 |         30 |          3 |         33 |         66 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Demcor-ects                                                                                                           |         19 |        397 |        139 |        420 |        956 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Demcor-ects\Entities                                                                                                  |         12 |        196 |         89 |        219 |        504 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Demcor-ects\Entities\Actor                                                                                            |          2 |         47 |         17 |         45 |        109 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Demcor-ects\Entities\KitSet                                                                                           |          7 |         90 |         42 |        103 |        235 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Demcor-ects\Entities\KitSet\Parts                                                                                     |          4 |         36 |         21 |         49 |        106 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Demcor-ects\Manager                                                                                                   |          3 |        109 |         12 |        102 |        223 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Demcor-ects\parts of Entities                                                                                         |          3 |         59 |         21 |         59 |        139 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Sokra-tiles                                                                                                           |          8 |        201 |         11 |        205 |        417 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Sokra-tiles\Framework                                                                                                 |          7 |        168 |          8 |        174 |        350 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Sokra-tiles\Framework\Chunk Visualicer                                                                                |          5 |         59 |          3 |         77 |        139 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Sokra-tiles\Framework\Parser                                                                                          |          2 |        109 |          5 |         97 |        211 |
| GameSrc\PatnicRoom\Components                                                                                                                              |         74 |      1,309 |        167 |        566 |      2,042 |
| GameSrc\PatnicRoom\Indexes                                                                                                                                 |         25 |        853 |         41 |        492 |      1,386 |
| GameSrc\PatnicRoom\Indexes\Entity-Attributes                                                                                                               |          4 |        120 |          2 |         41 |        163 |
| GameSrc\PatnicRoom\Indexes\Enums                                                                                                                           |         13 |        393 |         13 |        207 |        613 |
| GameSrc\PatnicRoom\Indexes\Syntax                                                                                                                          |          5 |        266 |         17 |        183 |        466 |
| GameSrc\PatnicRoom\Indexes\Syntax\Event                                                                                                                    |          3 |         52 |         17 |         52 |        121 |
| GameSrc\PatnicRoom\Modules                                                                                                                                 |        124 |      2,075 |        205 |      2,223 |      4,503 |
| GameSrc\PatnicRoom\Modules\001-Atlas                                                                                                                       |          9 |        186 |         32 |        256 |        474 |
| GameSrc\PatnicRoom\Modules\001-Atlas\Controller                                                                                                            |          1 |         39 |         10 |         27 |         76 |
| GameSrc\PatnicRoom\Modules\001-Atlas\Subatlas                                                                                                              |          8 |        147 |         22 |        229 |        398 |
| GameSrc\PatnicRoom\Modules\001-Atlas\Subatlas\Actor                                                                                                        |          4 |         26 |          6 |        101 |        133 |
| GameSrc\PatnicRoom\Modules\002-Tilemap-Structure                                                                                                           |         15 |        223 |         34 |        275 |        532 |
| GameSrc\PatnicRoom\Modules\002-Tilemap-Structure\Controller                                                                                                |          1 |         28 |          4 |         36 |         68 |
| GameSrc\PatnicRoom\Modules\002-Tilemap-Structure\IO                                                                                                        |          2 |         19 |          0 |         27 |         46 |
| GameSrc\PatnicRoom\Modules\002-Tilemap-Structure\Systems                                                                                                   |         12 |        176 |         30 |        212 |        418 |
| GameSrc\PatnicRoom\Modules\002-Tilemap-Structure\Systems\Layer                                                                                             |         10 |        142 |         30 |        179 |        351 |
| GameSrc\PatnicRoom\Modules\002-Tilemap-Structure\Systems\Layer\Actor                                                                                       |          2 |         26 |          9 |         30 |         65 |
| GameSrc\PatnicRoom\Modules\002-Tilemap-Structure\Systems\Layer\Animation                                                                                   |          2 |         46 |          6 |         68 |        120 |
| GameSrc\PatnicRoom\Modules\002-Tilemap-Structure\Systems\Layer\Magic                                                                                       |          2 |          8 |          2 |         12 |         22 |
| GameSrc\PatnicRoom\Modules\002-Tilemap-Structure\Systems\Layer\Matrix                                                                                      |          2 |          8 |          2 |         12 |         22 |
| GameSrc\PatnicRoom\Modules\002-Tilemap-Structure\Systems\Layer\Meat                                                                                        |          2 |         54 |         11 |         57 |        122 |
| GameSrc\PatnicRoom\Modules\004-Event                                                                                                                       |         25 |        363 |         14 |        343 |        720 |
| GameSrc\PatnicRoom\Modules\004-Event\Controller                                                                                                            |          1 |         10 |          4 |         29 |         43 |
| GameSrc\PatnicRoom\Modules\004-Event\Systems                                                                                                               |         24 |        353 |         10 |        314 |        677 |
| GameSrc\PatnicRoom\Modules\004-Event\Systems\Consider                                                                                                      |          6 |         76 |          6 |         67 |        149 |
| GameSrc\PatnicRoom\Modules\004-Event\Systems\Perform                                                                                                       |          6 |         94 |          0 |         87 |        181 |
| GameSrc\PatnicRoom\Modules\004-Event\Systems\Seize                                                                                                         |          8 |        109 |          4 |         88 |        201 |
| GameSrc\PatnicRoom\Modules\004-Event\Systems\Seize\MEDIUM                                                                                                  |          6 |         85 |          4 |         69 |        158 |
| GameSrc\PatnicRoom\Modules\004-Event\Systems\Seize\SOURCE                                                                                                  |          1 |          3 |          0 |          7 |         10 |
| GameSrc\PatnicRoom\Modules\005-Player                                                                                                                      |         14 |        304 |         26 |        338 |        668 |
| GameSrc\PatnicRoom\Modules\005-Player\Controller                                                                                                           |          1 |         35 |         12 |         54 |        101 |
| GameSrc\PatnicRoom\Modules\005-Player\Systems                                                                                                              |         12 |        260 |         14 |        276 |        550 |
| GameSrc\PatnicRoom\Modules\005-Player\Systems\Characters                                                                                                   |          4 |         87 |          3 |        106 |        196 |
| GameSrc\PatnicRoom\Modules\005-Player\Systems\Chargen                                                                                                      |          3 |         94 |          4 |         76 |        174 |
| GameSrc\PatnicRoom\Modules\005-Player\Systems\Common                                                                                                       |          4 |         77 |          7 |         78 |        162 |
| GameSrc\PatnicRoom\Modules\005-Player\Systems\meta                                                                                                         |          1 |          2 |          0 |         16 |         18 |
| GameSrc\PatnicRoom\Modules\005-Player\io                                                                                                                   |          1 |          9 |          0 |          8 |         17 |
| GameSrc\PatnicRoom\Modules\006-Conditions                                                                                                                  |         11 |        210 |         12 |        213 |        435 |
| GameSrc\PatnicRoom\Modules\006-Conditions\Controller                                                                                                       |          1 |          7 |         10 |         20 |         37 |
| GameSrc\PatnicRoom\Modules\006-Conditions\System                                                                                                           |         10 |        203 |          2 |        193 |        398 |
| GameSrc\PatnicRoom\Modules\006-Conditions\System\Effects                                                                                                   |          7 |        115 |          0 |        125 |        240 |
| GameSrc\PatnicRoom\Modules\007-Statmods                                                                                                                    |          6 |        114 |         36 |        127 |        277 |
| GameSrc\PatnicRoom\Modules\007-Statmods\Controller                                                                                                         |          1 |         10 |          3 |         16 |         29 |
| GameSrc\PatnicRoom\Modules\007-Statmods\System                                                                                                             |          5 |        104 |         33 |        111 |        248 |
| GameSrc\PatnicRoom\Modules\008-KitSet                                                                                                                      |          4 |        133 |         11 |        108 |        252 |
| GameSrc\PatnicRoom\Modules\008-KitSet\Controller                                                                                                           |          1 |         30 |          8 |         37 |         75 |
| GameSrc\PatnicRoom\Modules\008-KitSet\Entity-Manager                                                                                                       |          1 |         51 |          1 |         31 |         83 |
| GameSrc\PatnicRoom\Modules\008-KitSet\Systems                                                                                                              |          2 |         52 |          2 |         40 |         94 |
| GameSrc\PatnicRoom\Modules\009-CLI                                                                                                                         |          7 |        134 |          5 |         92 |        231 |
| GameSrc\PatnicRoom\Modules\009-CLI\Controller                                                                                                              |          2 |        102 |          5 |         50 |        157 |
| GameSrc\PatnicRoom\Modules\009-CLI\Systems                                                                                                                 |          5 |         32 |          0 |         42 |         74 |
| GameSrc\PatnicRoom\Modules\011-ProcGen-Actor                                                                                                               |          8 |        189 |         10 |        171 |        370 |
| GameSrc\PatnicRoom\Modules\011-ProcGen-Actor\Controller                                                                                                    |          1 |         22 |          3 |         22 |         47 |
| GameSrc\PatnicRoom\Modules\011-ProcGen-Actor\Entity Manager                                                                                                |          2 |         77 |          7 |         58 |        142 |
| GameSrc\PatnicRoom\Modules\011-ProcGen-Actor\Systems                                                                                                       |          5 |         90 |          0 |         91 |        181 |
| GameSrc\PatnicRoom\Modules\011-ProcGen-Actor\Systems\Parser Modules                                                                                        |          3 |         56 |          0 |         63 |        119 |
| GameSrc\PatnicRoom\Modules\012-Procgen-Chunk                                                                                                               |          1 |          1 |          2 |          2 |          5 |
| GameSrc\PatnicRoom\Modules\012-Procgen-Chunk\Controller                                                                                                    |          1 |          1 |          2 |          2 |          5 |
| GameSrc\PatnicRoom\Modules\013-Procgen-Loot                                                                                                                |          2 |         20 |         18 |         33 |         71 |
| GameSrc\PatnicRoom\Modules\013-Procgen-Loot\Controller                                                                                                     |          1 |          4 |          5 |         14 |         23 |
| GameSrc\PatnicRoom\Modules\013-Procgen-Loot\Entity Manager                                                                                                 |          1 |         16 |         13 |         19 |         48 |
| GameSrc\PatnicRoom\Modules\014-Behavior                                                                                                                    |         22 |        198 |          5 |        265 |        468 |
| GameSrc\PatnicRoom\Modules\014-Behavior\Controller                                                                                                         |          1 |         21 |          2 |         33 |         56 |
| GameSrc\PatnicRoom\Modules\014-Behavior\Entity Manager                                                                                                     |          4 |         45 |          3 |         49 |         97 |
| GameSrc\PatnicRoom\Modules\014-Behavior\Systems                                                                                                            |         17 |        132 |          0 |        183 |        315 |
| GameSrc\PatnicRoom\Modules\014-Behavior\Systems\1_Goals                                                                                                    |          2 |         16 |          0 |         14 |         30 |
| GameSrc\PatnicRoom\Modules\014-Behavior\Systems\2_Means                                                                                                    |          2 |         25 |          0 |         28 |         53 |
| GameSrc\PatnicRoom\Modules\014-Behavior\Systems\3_Actions                                                                                                  |          8 |         56 |          0 |         72 |        128 |
| GameSrc\PatnicRoom\Modules\014-Behavior\Systems\3_Actions\01_SELECT_TARGET                                                                                 |          3 |         21 |          0 |         27 |         48 |
| GameSrc\PatnicRoom\Modules\014-Behavior\Systems\3_Actions\02_SELECT_KIT_BY                                                                                 |          5 |         35 |          0 |         45 |         80 |
| GameSrc\PatnicRoom\Modules\014-Behavior\Systems\Validator                                                                                                  |          5 |         35 |          0 |         69 |        104 |
| GameSrc\PatnicRoom\Util                                                                                                                                    |          9 |        236 |         66 |        156 |        458 |
| GameSrc\PatnicRoom\Util\SubUtils                                                                                                                           |          7 |        163 |         61 |        101 |        325 |
| GameSrc\PatnicRoom\scenes                                                                                                                                  |         93 |     16,274 |         84 |      2,629 |     18,987 |
| GameSrc\PatnicRoom\scenes\Gameloop                                                                                                                         |         51 |      9,592 |         22 |      1,429 |     11,043 |
| GameSrc\PatnicRoom\scenes\Gameloop\PanicMode                                                                                                               |         31 |      5,156 |         16 |        699 |      5,871 |
| GameSrc\PatnicRoom\scenes\Gameloop\PanicMode\HUD                                                                                                           |          2 |         44 |          0 |         39 |         83 |
| GameSrc\PatnicRoom\scenes\Gameloop\PanicMode\Subscenes                                                                                                     |         24 |      5,023 |         16 |        612 |      5,651 |
| GameSrc\PatnicRoom\scenes\Gameloop\PanicMode\Subscenes\Inv Side Panel                                                                                      |          2 |      1,262 |          4 |        132 |      1,398 |
| GameSrc\PatnicRoom\scenes\Gameloop\PanicMode\Subscenes\Kits Side Panel                                                                                     |          3 |        965 |          0 |        111 |      1,076 |
| GameSrc\PatnicRoom\scenes\Gameloop\PanicMode\Subscenes\Monitor Side Panel                                                                                  |          7 |        511 |         12 |         84 |        607 |
| GameSrc\PatnicRoom\scenes\Gameloop\PanicMode\Subscenes\News Side Panel                                                                                     |          2 |        955 |          0 |        103 |      1,058 |
| GameSrc\PatnicRoom\scenes\Gameloop\PanicMode\Subscenes\Onlook Sub Panel                                                                                    |          2 |        162 |          0 |         22 |        184 |
| GameSrc\PatnicRoom\scenes\Gameloop\PanicMode\Subscenes\Rootpanel                                                                                           |          6 |        838 |          0 |        120 |        958 |
| GameSrc\PatnicRoom\scenes\Gameloop\PanicMode\Subscenes\ViewModes                                                                                           |          2 |        330 |          0 |         40 |        370 |
| GameSrc\PatnicRoom\scenes\Gameloop\RestMode                                                                                                                |         20 |      4,436 |          6 |        730 |      5,172 |
| GameSrc\PatnicRoom\scenes\Gameloop\RestMode\Self                                                                                                           |          5 |      2,664 |          0 |        325 |      2,989 |
| GameSrc\PatnicRoom\scenes\Gameloop\RestMode\Self\Charsheet                                                                                                 |          1 |      2,417 |          0 |        261 |      2,678 |
| GameSrc\PatnicRoom\scenes\Gameloop\RestMode\Self\Inventory                                                                                                 |          3 |        234 |          0 |         56 |        290 |
| GameSrc\PatnicRoom\scenes\Gameloop\RestMode\Self\Rootnet                                                                                                   |          1 |         13 |          0 |          8 |         21 |
| GameSrc\PatnicRoom\scenes\Gameloop\RestMode\Station                                                                                                        |          8 |      1,200 |          5 |        264 |      1,469 |
| GameSrc\PatnicRoom\scenes\Gameloop\RestMode\Station\Kitset Manipulation                                                                                    |          2 |         27 |          1 |         19 |         47 |
| GameSrc\PatnicRoom\scenes\Gameloop\RestMode\Station\kitPartToModList                                                                                       |          1 |        842 |          0 |        110 |        952 |
